ID,LHS,LHS Type,RHS,Probability
155,V_IN,preterminal,depart,0.0216294933701234
156,V_IN,preterminal,departed,0.04768912393653714
157,V_IN,preterminal,departs,0.0302138422625891
158,V_IN,preterminal,laugh,0.030060550318080782
159,V_IN,preterminal,laughed,0.056733348662527786
160,V_IN,preterminal,laughs,0.035119184486855214
161,V_IN,preterminal,pause,0.0020081244730589406
162,V_IN,preterminal,paused,0.003694335862650418
163,V_IN,preterminal,pauses,0.002468000306583889
164,V_IN,preterminal,shout,0.013658312255690962
165,V_IN,preterminal,shouted,0.02745458726143941
166,V_IN,preterminal,shouts,0.020403157814056872
167,V_IN,preterminal,sleep,0.026381543649881198
168,V_IN,preterminal,sleeps,0.03757185559898827
169,V_IN,preterminal,slept,0.05581359699547789
170,V_IN,preterminal,smile,0.012125392810607802
171,V_IN,preterminal,smiled,0.02285582892618993
172,V_IN,preterminal,smiles,0.015191231700774124
173,V_IN,preterminal,sneeze,0.011665516977082853
174,V_IN,preterminal,sneezed,0.026534835594389513
175,V_IN,preterminal,sneezes,0.014271480033724226
176,V_IN,preterminal,travel,0.0035410439181421016
177,V_IN,preterminal,traveled,0.005380547252241895
178,V_IN,preterminal,travels,0.0033877519736337856
179,V_IN,preterminal,wait,0.021016325592090136
180,V_IN,preterminal,waited,0.04523645282440408
181,V_IN,preterminal,waits,0.029140798651030888
182,V_IN,preterminal,wander,0.018103778646432128
183,V_IN,preterminal,wandered,0.039104775044071435
184,V_IN,preterminal,wanders,0.023622288648731508
185,V_TR,preterminal,admire,0.03466716881649562
186,V_TR,preterminal,admired,0.041069579135674605
187,V_TR,preterminal,admires,0.032407494586197155
188,V_TR,preterminal,build,0.03090104509933151
189,V_TR,preterminal,builds,0.03504378118821203
190,V_TR,preterminal,built,0.031465963656906126
191,V_TR,preterminal,call,0.012635345071085585
192,V_TR,preterminal,called,0.012070426513510969
193,V_TR,preterminal,calls,0.013765182186234817
194,V_TR,preterminal,chase,0.040316354392241786
195,V_TR,preterminal,chased,0.03880990490537614
196,V_TR,preterminal,chases,0.04125788532153281
197,V_TR,preterminal,find,0.020920817248846625
198,V_TR,preterminal,finds,0.02393371622257791
199,V_TR,preterminal,follow,0.02431032859429432
200,V_TR,preterminal,followed,0.022615572921570473
201,V_TR,preterminal,follows,0.022427266735712267
202,V_TR,preterminal,found,0.023368797665003296
203,V_TR,preterminal,help,0.011882120327652764
204,V_TR,preterminal,helped,0.01282365125694379
205,V_TR,preterminal,helps,0.01696638734582431
206,V_TR,preterminal,meet,0.00585632238019019
207,V_TR,preterminal,meets,0.007739384238772244
208,V_TR,preterminal,met,0.008115996610488655
209,V_TR,preterminal,move,0.004538179079182751
210,V_TR,preterminal,moved,0.0062329347519066
211,V_TR,preterminal,moves,0.003973260521608135
212,V_TR,preterminal,praise,0.0017135862913096695
213,V_TR,preterminal,praised,0.002843423406458902
214,V_TR,preterminal,praises,0.003408341964033519
215,V_TR,preterminal,prefer,0.016213162602391487
216,V_TR,preterminal,preferred,0.018661143018548158
217,V_TR,preterminal,prefers,0.023368797665003296
218,V_TR,preterminal,saw,0.042011110064965634
219,V_TR,preterminal,see,0.04332925336597307
220,V_TR,preterminal,sees,0.04332925336597307
221,V_TR,preterminal,solve,0.03127765747104792
222,V_TR,preterminal,solved,0.03278410695791357
223,V_TR,preterminal,solves,0.02562847189530176
224,V_TR,preterminal,visit,0.017907918275115335
225,V_TR,preterminal,visited,0.014330100743809433
226,V_TR,preterminal,visits,0.019979286319555596
227,V_TR,preterminal,watch,0.029582901798324075
228,V_TR,preterminal,watched,0.026570002824592785
229,V_TR,preterminal,watches,0.026946615196309198
