ID,LHS,LHS Type,RHS,Probability
121,V_14,preterminal,build,0.029412
122,CAT_17,preterminal,departed,0.069767
123,V,preterminal,preferred,0.017241
124,CAT_1,preterminal,laughs,0.114286
125,V,preterminal,watches,0.017241
126,CAT_18,preterminal,nearby,0.035714
127,V,preterminal,followed,0.017241
128,CAT_18,preterminal,tomorrow,0.107143
129,JJ,preterminal,brave,0.032258
130,CAT_8,preterminal,nine,0.047619
131,CAT_8,preterminal,eight,0.047619
132,CAT_16,preterminal,sneezes,0.100000
133,V_14,preterminal,sees,0.058824
134,CAT_1,preterminal,shout,0.057143
135,JJ,preterminal,honest,0.032258
136,NNS,preterminal,forests,0.011450
137,CAT_2,preterminal,elsewhere,0.250000
138,V,preterminal,solve,0.034483
139,CAT_16,preterminal,wait,0.050000
140,CAT_19,preterminal,collapse,0.285714
141,CAT_8,preterminal,ten,0.011905
142,V_14,preterminal,visits,0.029412
143,CAT_1,preterminal,smile,0.028571
144,CAT_18,preterminal,yesterday,0.035714
145,JJ,preterminal,ancient,0.032258
146,CAT_12,preterminal,moved,1.000000
147,CAT_18,preterminal,home,0.071429
148,CAT_1,preterminal,waits,0.028571
149,CAT_1,preterminal,dances,0.028571
150,CAT_18,preterminal,upstairs,0.071429
151,CAT_17,preterminal,laughed,0.046512
152,JJ,preterminal,careful,0.032258
153,CAT_2,preterminal,soon,0.125000
154,JJ,preterminal,slow,0.032258
155,V,preterminal,met,0.017241
156,CAT_4,preterminal,near,0.018519
157,V,preterminal,admired,0.017241
158,V,preterminal,watched,0.034483
159,CAT_1,preterminal,sneeze,0.028571
160,JJ,preterminal,modern,0.032258
161,V_14,preterminal,prefers,0.029412
162,CAT_19,preterminal,cries,0.142857
163,CAT_19,preterminal,cried,0.142857
164,V,preterminal,saw,0.034483
165,JJ,preterminal,quick,0.032258
166,CAT_9,preterminal,will,0.250000
167,V,preterminal,called,0.017241
168,CAT_2,preterminal,everywhere,0.125000
169,S,nonterminal,CAT_0 CAT_1,1.000000
